number,group_number,group_name,description,dimensions,price
5578-32,5578-32,Visby Collection,4-Piece Pack Counter Height Set,Table: 48 x 23.5 x 35.5H Stool: 17.5 x 14 x 23.5H Bench: 42.5 x 14 x 23.5H,146.0
5603-24,5603-36*,Timbre Collection,Counter Height Stool,21.5 X 16.5 X 24.5H,33.0
1714BK-6,1714BK-1,Laurelin Collection ,Mirror,42.25 x 1.75 x 36.5H,72.0
4949BK*,4949BK,Adra Collection , Daybed with Trundle Daybed:  82 x 41 x 36.5H Trundle:  75.5 x 40.25 x 11.75H ,"",169.0
1393BKS,1393BK-48,Ohana Collection ,Side Chair,19.5 x 23 x 40.5H,50.0
2243-11,2243SL-1,Deryn Park Collection ,TV Chest,44 x 19 x 38.25H,375.0
2159-9,2159-1,Cumberland Collection ,Chest,40 x 18 x 54H,339.0
1808-50*,1808-112,Russian Hill Collection ,Buffet & Hutch,66.75 x 20.5 x 91.5H,1139.0
5473-50*,5473-103,Lordsburg Collection ,Buffet & Hutch,60.25 x 19.5 x 83.75H,852.0
2243-6,2243-1,Deryn Park Collection ,Mirror,49 x 4.5 x 49.25H,144.0
8244BU-2,8244BU-3,Erath Collection ,Love Seat,63 x 39 x 39H,285.0
8378BLK-R,8378BLK-L,Barrington Collection ,Right Side Chaise,80 x 33 x 34H,248.0
5602-36,5602-36*,Amsonia Collection,Counter Height Table,30 X 72 X 36H,246.0
1831P-1,1831P-1,Potrero Collection ,Queen / FULL Headboard,HB: 54H ,137.0
1855-4,1855-1,Cullen Collection ,Night Stand,21.75 x 17 x 24H,72.0
2243K-1CK,2243-1,Deryn Park Collection ,California King Poster Bed,HB: 84.25H FB: 84.25H,664.0
2169-9,2169SL-1,Hillcrest Manor Collection ,Chest,44 x 21 x 58H,490.0
2146-9,2146-1,Kari Collection ,Chest,30.5 x 16.5 x 46.5H,154.0
1393BKS,1393BK-78,Ohana Collection ,Side Chair,19.5 x 23 x 40.5H,50.0
2617N-36,2617N-36,Ronan Collection ,Counter Height Table,56 x 37.5 – 56 x 36H,307.0
1744-5,1744-1*,Liatris Collection,Dresser,64 x 18 x 33H,340.0
1147BLK,1147,Ride Collection ,Black Airlift Swivel Stool,18.5 x 18.5 x 31H,34.0
5466S,5466-62,Festus Collection ,Side Chair,19 x 25 x 39H,49.0
1737NC-1*,1737NC-1,Lyric Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 50H FB: 18H,476.0
5877KBE-1CK*,5877BE-1*,Fairborn Collection,California King Platform Bed,HB: 67H  FB: 15H,292.0
2124-6,2124-1,Townsford Collection ,Mirror,46 x 2 x 42H,101.0
3256RF-30,3256RF-30,Ballwin Collection ,Cocktail Table with Lift Top and Functional Drawer on Casters,48 x 26 x 18H,183.0
1372-40,1372-78,Crown Point Collection ,Server,54 x 18 x 36H,375.0
8334BLK-3,8334BLK-3,Oriole Collection ,Double Reclining Sofa with Center Drop-Down Cup Holders,87.5 x 38.5 x 39H,442.0
5425-24,5425-36,Benwick Collection ,Counter Height Chair,54 x 18 x 40H,65.0
1737NC-11,1737NC-1,Lyric Collection ,TV Chest,41.75 x 18.25 x 41H,309.0
B2013DC-9,B2013DC-1*,Rowe Collection,Chest,30 x 17 x 37.25H,148.0
1706LED-1*,1706LED-1*,Moritz Collection,"Queen Bed, LED Lighting",HB: 56.25H  FB: 12.25H,281.0
1737KNC-1EK*,1737NC-1,Lyric Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,574.0
2243SLK-1EK*,2243SL-1,Deryn Park Collection ,Eastern King Sleigh Bed,HB: 70.5H FB: 31.25H,667.0
1372-24,1372-36,Crown Point Collection ,Counter Height Chair,19.25 x 22.5 x 43.25H,60.0
2124K-1EK*,2124-1,Townsford Collection ,Eastern King Bed,HB: 68H FB: 44H,456.0
1768-6,1768-1*,Birman Collection,Mirror,42 x 2.5 x 39H,75.0
8255GY-CR,8255GY-PW Sectional,Kalmar Collection,Corner Seat,68 x 42.5 x 40H,269.0
8206BRW-1,8206BRW-3,Aram Collection ,Glider Reclining Chair,45 x 40.25 x 40.25H,256.0
1737NC-9,1737NC-1,Lyric Collection ,Chest,36 x 18.5 x 47.5H,319.0
1737NC-6,1737NC-1,Lyric Collection ,Mirror,47.75 x 1 x 38.25H,100.0
1768-5,1768-1*,Birman Collection,Dresser,62 x 18 x 38H,328.0
8244SD-3,8244SD-3,Erath Collection ,Sofa,81 x 39 x 39H,367.0
5466-13,5466-62,Festus Collection ,"49"" Bench",49 x 18 x 20H,74.0
1824-5,1824-1,Catalonia Collection ,Dresser,67.75 x 20.25 x 40.5H,479.0
1788-4,1788-1*,Fondren Collection,Night Stand,30 x 18 x 28H,143.0
5556-04,5556-30,Cavendish Collection ,Round End Table with Glass Insert,26 Dia x 25.75H,127.0
2124-1*,2124-1,Townsford Collection ,Queen Bed,HB: 68H FB: 44H,373.0
1904GY-4,1904GY-1*,Beechnut Collection,Night Stand,23.5 x 16.5 x 26.75H,85.0
2147BK-9,2147BK-1,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
1356BK-4,1356TBK-1,Morelle Collection ,Night Stand,24 x 16 x 23.75H,83.0
1768-1*,1768-1*,Birman Collection,Queen Bed,HB: 60H  FB: 24H,277.0
1737NC-4,1737NC-1,Lyric Collection ,Night Stand with Glass Top,23.5 x 17.5 x 24.5H,150.0
1757-6,1757-1*,Cavalier Collection,Mirror,51.5 x 2.75 x 49.5H,149.0
1904-6,1904T-1,Beechnut Collection ,Mirror,41 x 1.25 x 39H,47.0
5400-24BH,5400-36XL*,Schleiger Collection,Counter Height Bench,64.25 x 16.25 x 25.75H,90.0
2538-13,2538-60,Devlin Collection ,"44"" Bench",44 x 17 x 18H,61.0
5327-48,5327-48,Helena Collection ,Round Dining Table,48 Dia x 30H,141.0
3270-S1W,3270-60,Archstone Collection,"Side Chair, White",19 x 24 x 38.5H,53.0
1711F-1*,1711NC-1*,Raku Collection,Full Bed,HB: 58H  FB: 18H,303.0
1711NC-4,1711NC-1*,Raku Collection,Night Stand,27 x 16 x 27H,0.0
1711NC-5,1711NC-1*,Raku Collection,Dresser,60 x 17 x 36H,0.0
1711NC-6,1711NC-1*,Raku Collection,Mirror,42 x 1.25 x 37.5H,0.0
1711NC-9,1711NC-1*,Raku Collection,Chest,38 x 17 x 52H,0.0
1766K-1CK*,1766-1*,Barbour Collection,California King bed,HB: 60H  FB: 20H,308.0
1936-1*,1936-1,Vestavia Collection ,Queen Bed,HB: 49H FB: 18.75H,151.0
5872KN-1EK*,5872N-1,Jervis Collection ,Eastern King Bed,HB: 64.5H FB: 14.25H,252.0
1356KBK-1CK*,1356BK-1,Morelle Collection ,California King Bed,HB: 54.25H FB: 16H,258.0
1372-40,1372-36,Crown Point Collection ,Server,54 x 18 x 36H,375.0
5789FN-1*,5789N-1,Baldwyn Collection ,Full Sleigh Bed,HB: 47.25H FB: 13.75H,197.0
1356BK-1*,1356BK-1,Morelle Collection ,Queen Bed,HB: 54.25H FB: 16H,205.0
710S,710-54,Daisy Collection,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,56.0
1737KW-1EK*,1737W-1,Lyric Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,567.0
5790K-1EK*,5790-1,Zoey Collection ,Eastern King Platform Bed,HB: 35H FB: 11H,171.0
1356BK-4,1356BK-1,Morelle Collection ,Night Stand,24 x 16 x 23.75H,83.0
1733K-1CK,1733-1,Verano Collection ,California King Sleigh Bed,HB: 56H FB: 20H,264.0
1737W-9,1737W-1,Lyric Collection ,Chest,36 x 18.5 x 47.5H,312.0
1768-9,1768-1*,Birman Collection,Chest,38 x 18 x 52H,277.0
1949-6,1949-1,Frederica Collection ,Mirror,42.5 x 2.25 x 44H,81.0
5532-36*,5532-36,Sona Collection ,Dining Table Glass Top,42 x 42 x 35.5H,88.0
1768-4,1768-1*,Birman Collection,Night Stand,28 x 17 x 29H,142.0
B2053W-9,B2053FFW-1,Galen Collection ,Chest,30 x 17 x 37.25H,152.0
1356BK-6,1356BK-1,Morelle Collection ,Mirror,39 x 2.5 x 35H,70.0
5790-4,5790-1,Zoey Collection ,Night Stand,20.25 x 16.5 x 20.5H,66.0
710S,710-72,Daisy Collection,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,56.0
1726-1*,1726-1*,Abutilon Collection,Queen Platform Bed with Footboard Storage,HB: 70.75H  FB: 20H,491.0
2147-9,2147-1,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
5877KBE-1EK*,5877BE-1*,Fairborn Collection,Eastern King Platform Bed,HB: 67H  FB: 15H,292.0
1721-4,1721-1*,Kalette Collection,Night Stand,28.5 x 18 x 29.75H,156.0
1766K-1EK*,1766-1*,Barbour Collection,Eastern King Bed,HB: 60H  FB: 20H,308.0
2147-12,2147T-1,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
5038-48,5038-48,Flannery Collection ,Dining Table,30 x 48 x 30H,62.0
1730K-1EK*,1730-1*,Cotterill Collection,Eastern King Bed,HB:53.75H FB: 15.25H,252.0
5415RFS,5415RF-15,Sedley Collection ,Side Chair,19.75 x 24 x 38.5H,59.0
1422-9,1422-1,Aris Collection ,Chest,41.5 x 19.5 x 55.25H,260.0
1733-9,1733-1,Verano Collection ,Chest,38 x 17.5 x 53H,263.0
586-40,586-60,Ameillia Collection ,Server,52 x 18 x 33H,331.0
1349K-1CK,1349-1,Glamour Collection ,California King Bed,HB: 54H FB: 27.5H,348.0
1769K-1CK*,1769-1*,Bracco Collection,California King Platform Bed with Footboard Storage,HB: 52H  FB:18H,405.0
2147T-1*,2147T-1,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
1385K-1EK*,1385-1,Madaleine Collection ,Eastern King Bed,HB: 60H FB: 36H,387.0
1757K-1EK*,1757-1*,Cavalier Collection,Eastern King Sleigh Bed,HB: 71H  FB: 31.75H,694.0
2466-48*,2466-48,Dandelion Collection ,Round Dining Table,48 Dia x 30H,242.0
8329BRW-2,8329BRW-3,Jarita Collection ,Double Reclining Love Seat,62 x 39.5 x 39.5H,285.0
5592,5592,Westerlyn Collection,5-Piece Pack Dinette Set,Table: 30 x 48 x 30H Chair: 18 x 14 x 19H,155.0
2145-9,2145T-1,Edina Collection ,Chest,35.5 x 16.25 x 48.75H,165.0
8212-RR,8212-AC,Ynez Collection ,Right Side Reclining Chair,41 x 38.75 x 40H,233.0
5106BK,5106BK,Edgar Collection ,3 Piece Counter Height Set,,82.0
1356BK-5,1356BK-1,Morelle Collection ,Dresser,54.25 x 19 x 33H,247.0
1856-9,1856-1,Abbeville Collection ,Chest with Hidden Drawer,31.75 x 17.5 x 47.5H,170.0
5512-31,5512-31,Sage Collection ,3-Piece Occasional Tables,Cocktail Table: 48 x 24 x 18H End Table: 22 x 22 x 22H,143.0
5099-16,5099-22,Millwood Collection ," 26"" W Bookshelf ",26 x 15 x 74.5H,160.0
2423-24,2423-36,Junipero Collection ,Counter Height Chair,18 x 20 x 41H,44.0
1788K-1CK*,1788-1*,Fondren Collection,California King Platform Bed with Footboard Storage,HB: 60H  FB: 13.75H,520.0
1385-9,1385-1,Madaleine Collection ,Chest,38 x 18 x 55H,311.0
8212-AC,8212-AC,Ynez Collection ,Armless Chair,31.5 x 38.75 x 40H,154.0
2615RFS-NN,2615DC-72,Marston Collection ,"Side Chair, No Nailhead",20.5 x 25.5 x 41.5H,79.0
8212-AR,8212-AC,Ynez Collection ,Armless Reclining Chair,31.5 x 38.75 x 40H,178.0
1386-4,1386TPP-1,Cinderella Collection ,Night Stand,24 x 17 x 29H,143.0
2425-36,2425-36,Griffin Collection ,5 Piece Counter Height Set,,259.0
1385K-1CK,1385-1,Madaleine Collection ,California King Bed,HB: 60H FB: 36H,387.0
B2043PR-1*,B2043PR-1,Bartly Collection , Twin/Twin Trundle Bed with Two Storage Drawers ,77.75 x 41.25 x 37.5H,255.0
1916-15*,1916-1,Allura Collection ,Vanity Dresser with Mirror,64 x 16.75 x 66.5H,417.0
8203RD-2,8203RD-3,Iniko Collection ,Love Seat,57.5 x 33 x 34H,242.0
1955T-1*,1955T-1,Lonan Collection ,Twin Bed,HB: 52H FB: 18H,114.0
B2013DC-9,B2013FFDC-1,Rowe Collection ,Chest,30 x 17 x 37.25H,148.0
8378GRY-4,8378GRY-L,Barrington Collection ,Ottoman,45 x 25 x 20H,90.0
1719-1*,1719-1*,Clematis Collection,Queen Sleigh Bed,HB: 56H  FB: 30H,394.0
1267GY,1267GY, Thrive Collection,Swivel Chair and Ottoman,33.75 x 30.75 x 40.5,178.0
8202GRY-2,8202GRY-3,Sinclair Collection ,Love Seat,56.75 x 32 x 35H,175.0
5400-9,5400-1,Schleiger Collection ,Chest,38 x 17.75 x 52H,286.0
2147BK-4,2147TBK,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
9734DB-1,9734DB-3,Rubin Collection ,Chair,40.5 x 36 x 36.5H,175.0
5179-13,5179-90,Urbana Collection ,"60"" Bench",60.25 x 18.25 x 20H,100.0
8202GRY-SC,8202GRY-SC,Sinclair Collection ,Reversible Sectional,84 x 107 x 35H,0.0
4727PU,4727PU,Synergy Collection ,Lift Top Storage Cocktail Ottoman,42 x 42 x 18H,185.0
8202CH*SC,8202CH-SC,Sinclair Collection ,Reversible Sectional,84 x 107 x 35H,464.0
8224TN-1,8224TN-3,Marceau Collection ,Chair,39.25 x 32.5 x 30.5H,163.0
8202GRY*SC,8202GRY-3,Sinclair Collection ,Sofa,72 x 32 x 35H,464.0
8224DG-1,8224DG-3,Marceau Collection ,Chair,39.25 x 32.5 x 30.5H,163.0
1788-5,1788-1*,Fondren Collection,Dresser,66 x 18 x 37.5H,338.0
5400-6,5400-1,Schleiger Collection ,Mirror,43 x 2.25 x 37.5H,72.0
8224DG-3,8224DG-3,Marceau Collection ,Sofa,78.25 x 32.5 x 30.5H,326.0
5400-5,5400-1,Schleiger Collection ,Dresser,63 x 17.75 x 39.5H,352.0
8203RD-3,8203RD-3,Iniko Collection ,Sofa,79.5 x 33 x 34H,308.0
8224TN-2,8224TN-3,Marceau Collection ,Love Seat,58 x 32.5 x 30.5H,243.0
B2013DC-R,B2013FFDC-1,Rowe Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,65.0
8378BRW-4,8378BRW-L,Barrington Collection ,Ottoman,45 x 25 x 20H,90.0
1279F2S,1279F2S,Semplice Collection ,Accent Chair,28 x 30 x 37.5H,143.0
B1799-R,B1799-1F,Clementine Collection,Twin Trundle,40.5 x 75.5 x 11.5H,143.0
1961-6,1961-1,Erwan Collection ,Mirror,41.5 x 1 x 34H,36.0
8204-1,8204-3,Bechette Collection ,Chair,39.5 x 38.25 x 37.5H,182.0
8378BRW-R,8378BRW-L,Barrington Collection ,Right Side Chaise,80 x 33 x 34H,248.0
1967W-9,1967W-1,Pell Collection ,Chest,31 x 16.5 x 48.25H,172.0
8224DG-2,8224DG-3,Marceau Collection ,Love Seat,58 x 32.5 x 30.5H,243.0
5178GYS,5178-60,Watt Collection,"Side Chair, Gray",17 x 23.25 x 39.5H,42.0
8225-4,8225-3,Alain Collection ,Ottoman,26 x 26 x 19H,73.0
458B-PU,458B-PU,Vega Collection ,Storage Cocktail Ottoman,48 x 25 x 19H,130.0
8235SS-3,8235SS-3,Breaux Collection ,Sofa,88.25 x 34.5 x 33H,317.0
2601-24,2601-36,Tempe Collection ,Counter Height Chair,17.5 x 19.5 x 40.25H,25.0
1961K-1EK*,1961-1,Erwan Collection ,Eastern King Bed,HB: 55.25H FB: 16.75H,237.0
8327BLK-R,8327BLK-CR,Deryn Collection ,Right Side 2-Seater,61.5 x 36.25 x 37H,223.0
8413GY-2,8413GY-3,Adair Collection ,Love Seat,61.5 x 35.75 x 35.75H,269.0
5516BKS,5516-66,Janina Collection ,"Side Chair, Black",17.25 x 23 x 39H,44.0
1737NGY-1*,1737NGY-1,Lyric Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 50H FB: 18H,456.0
2546-50*,2546-96,Keegan Collection ,Buffet & Hutch,57.75 x 18.25 x 82.25H,754.0
8207-1,8207-3,Lotte Collection ,Chair,35 x 36.25 x 35.75H,255.0
1957-6,1957-1,Jerrick Collection ,Mirror,40.25 x 1 x 34.75H,69.0
8327BLK-1,8327BLK-3,Deryn Collection ,Chair,40.25 x 33.75 x 33.5H,164.0
1768K-1CK*,1768-1*,Birman Collection,California King bed,HB: 60H  FB: 24H,343.0
2259KGY-1EK*,2259GY-1,Bethel Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 21H,588.0
8244RN-2,8244RN-3,Erath Collection ,Love Seat,63 x 39 x 39H,285.0
1768K-1EK*,1768-1*,Birman Collection,Eastern King Bed,HB: 60H  FB: 24H,343.0
1707-6,1707-1,Lavonia Collection ,Mirror,46 x 1.5 x 36.75H,70.0
5251S,5251-108,Delavan Collection,Side Chair,20 x 27 x 39H,96.0
1890FN-1*,1890N-1,Cadmus Collection ,Full Bed,HB: 47.75H FB: 14H,111.0
4968BK-NT,4968BK-NT,Auberon Collection , Metal Daybed with Trundle Daybed:  82 x 41.75 x 48.25H Trundle:  76.75 x 40.25 x 4.25H ,Daybed: 82 x 41.75 x 48.25H Trundle: 76.75 x 40.25 x 4.25H,198.0
8289GY-3,8289GY,Bedos Collection,Sofa,84 x 34 x 33.5H,323.0
5400-13,5400-94,Schleiger Collection ,"66"" Bench",66 x 16 x 17.75H,87.0
8413GY-1,8413GY-3,Adair Collection ,Chair,38.5 x 35.75 x 35.75H,167.0
8244SD-1,8244SD-3,Erath Collection ,Sofa,41 x 39 x 39H,195.0
5145W-40,5145W-78,Azalea Collection ,Server,60 x 18 x 33.25H,331.0
8250RN-1,8250RN,Corso Collection,Chair,34.25 x 33 x 33H,166.0
1752-6,1752-1*,Griffon Collection,Mirror,40.5 x 1.25 x 40.5H,71.0
5544-40,5544-72,Codie Collection ,Server,54 x 18 x 36H,342.0
710S,710-72TR,Daisy Collection,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,56.0
8200BRW-3PW,8200BRW-3PW,Mahala Collection ,Power Double Reclining Sofa,88 x 39 x 39.5H,845.0
8355-2PW*,8355-3PW,Corazon Collection ,Power Left Side Reclining Love Seat,67.75 x 37 x 37.75H,757.0
8210GRY-1,8210GRY-3,Taye Collection ,Glider Reclining Chair,39 x 39.25 x 40.5H,235.0
5491-48*,5491-48,Massey Collection ,Round Dining Table with Glass Top,48 Dia x 30H,156.0
1909RFK-1EK*,1909RF-1,Terron Collection ,Eastern King Sleigh Bed,HB: 58H FB: 26H,332.0
1949-4,1949-1,Frederica Collection ,Night Stand,23.75 x 16 x 26H,94.0
8200BRW-1,8200BRW-3,Mahala Collection ,Glider Reclining Chair,42 x 39 x 39.5H,382.0
8355-1PW,8355-3PW,Corazon Collection ,Power Reclining Chair,44.5 x 37 x 37.75H,494.0
8355-3PW*,8355-3PW,Corazon Collection ,Power Double Reclining Sofa,91 x 37 x 37.75H,942.0
8206NF-2,8206NF-3,Aram Collection , Double Glider Reclining Love Seat with Center Console and Receptacles ,76 x 40.25 x 40.25H,484.0
1978W-1*,1978W-1,Elsmere Collection ,Queen Bed,HB: 72.25H FB: 30.25H,533.0
1968F-1*,1968-1,Branton Collection ,Full Bed,HB: 56H FB: 22H,175.0
5438K-1EK*,5438-1,Toulon Collection ,Eastern King Platform Bed with Footboard Storages,HB: 59.5H FB: 19H,474.0
1711-9,1711-1,Raku Collection ,Chest,38 x 17 x 52H,283.0
8246GY-2,8246GY,Nevaun Collection,Love Seat,57.5 x 34.5 x 34.5H,382.0
8289GY-2,8289GY,Bedos Collection,Love Seat,62 x 34 x 33.5H,262.0
8201BRW-2,8201BRW-3,Jude Collection ,Double Glider Reclining Love Seat with Center Console,72.5 x 39 x 39H,434.0
8246GY-3,8246GY,Nevaun Collection,Sofa,82.5 x 34.5 x 34.5H,475.0
8201BRW-3,8201BRW-3,Jude Collection ,Double Reclining Sofa with Center Drop-Down Cup Holders,81.5 x 39 x 39H,451.0
1717-4,1717-1,Albright Collection ,Night Stand,30 x 19 x 29H,154.0
8225NGY-1,8225NGY,Alain Collection,Chair,39.25 x 35.5 x 37H,186.0
1978W-5,1978W-1,Elsmere Collection ,Dresser,70 x 19.75 x 38H,495.0
8201BLK-1,8201BLK-3,Jude Collection ,Glider Reclining Chair,35.5 x 39 x 39H,205.0
727-24,727-36,Verona Collection ,Counter Height Chair,19 x 22.5 x 42.5H,64.0
1717-5,1717-1,Albright Collection ,Dresser,66 x 19 x 39H,481.0
8289GY-1,8289GY,Bedos Collection,Chair,42 x 34 x 33.5H,171.0
8200BRW-1PW,8200BRW-3PW,Mahala Collection ,Power Reclining Chair,42 x 39 x 39.5H,442.0
8334DBR-1,8334DBR-3,Oriole Collection ,Swivel Glider Reclining Chair,42 x 38.5 x 39H,235.0
1711-6,1711-1,Raku Collection ,Mirror,42 x 1.25 x 37.5H,61.0
1949-5,1949-1,Frederica Collection ,Dresser,64 x 17.75 x 34H,271.0
8223DB-1PW,8223DB-3PW,Nicasio Collection ,Power Reclining Chair,43 x 37 x 39.25H,434.0
5415RF-9,5415RF-1,Sedley Collection ,Chest,36 x 18 x 52.25H,329.0
8329CH-1,8329CH-3,Jarita Collection ,Reclining Chair,37.5 x 39.5 x 39.5H,185.0
5516WTS,5516-66,Janina Collection ,"Side Chair, White",17.25 x 23 x 39H,44.0
1708K-1EK*,1708-1,Odelia Collection ,Eastern King Bed,HB: 60H FB: 16H,271.0
8303-AC,8303-AC,Metz Collection ,Armless Chair,29.5 x 33 x 28.25H,131.0
1935-110*,1935-110,Bonaventure Park Collection ,Double Pedestal Dining Table,44 x 78 – 94 – 110 x 30H,745.0
8318-2CNPW*,8318-3PW,Laertes Collection ,Power Double Reclining Love Seat with Center Console,92 x 36.75 x 39.5H,882.0
8308-5R,8308,Olympia Collection ,Right Side Chaise,32.25 x 62 x 39.5H,373.0
5428-40,5428-45RD,Claire Collection,Server,56.75 x 18 x 36H,421.0
8230BLK-1,8230BLK-3,Bastrop Collection ,Glider Reclining Chair,42.5 x 38.5 x 39.5H,238.0
8308-AC,8308,Olympia Collection ,Armless Chair,23.25 x 36.5 x 39.5H,172.0
8308-5L,8308,Olympia Collection ,Left Side Chaise,32.25 x 62 x 39.5H,373.0
1978W-6,1978W-1,Elsmere Collection ,Mirror,46 x 2 x 46H,151.0
5538BKS,5538BK,Florian Collection ,"Side Chair, Black Bi-Cast Vinyl",16.5 x 19.75 x 38.5H,18.0
8230BRW-2,8230BRW-3,Bastrop Collection ,Double Glider Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,428.0
8230BRW-1,8230BRW-3,Bastrop Collection ,Glider Reclining Chair,42.5 x 38.5 x 39.5H,238.0
1297BU-1,1297BU-1,Grazioso,Accent Chair,29.25 x 30.5 x 36H,148.0
1885N-1*,1885N-1,Zaira Collection ,Queen Bed,HB: 52H FB: 14H,181.0
1935A,1935-110,Bonaventure Park Collection ,Arm Chair,26 x 26 x 43H,144.0
586GY-82,586GY-82,Ameillia Collection ,Dining Table,42 x 64 – 82 x 30H,233.0
5423S,5423-66,Nantes Collection ,Side Chair,18.75 x 24.5 x 40H,50.0
5423-66,5423-66,Nantes Collection ,Dining Table,38 x 66 x 30H,148.0
5460-24,5460-36,Diego Collection ,Counter Height Chair,17.5 x 19 x 38.75H,35.0
1856-4,1856-1,Abbeville Collection ,Night Stand with Hidden Drawer,21.25 x 15.75 x 24H,75.0
1909RFK-1CK,1909RF-1,Terron Collection ,California King Sleigh Bed,HB: 58H FB: 26H,332.0
1958-96,1958-96,Bevelle Collection ,Dining Table,42.75 x 78 – 96 x 30H,351.0
5606-45RD,5606-45RD*,Fideo Collection,Round Dining Table,45 Dia X 30H,156.0
1935S,1935-110,Bonaventure Park Collection ,Side Chair,22 x 26 x 43H,130.0
1714W-5,1714W-1,Laurelin Collection ,Dresser with Hidden Drawer,65.25 x 18 x 40H,300.0
5516TLS,5516-66,Janina Collection ,"Side Chair, Teal",17.25 x 23 x 39H,44.0
5606S,5606-45RD*,Fideo Collection,Side Chair,17.75 X 21 X 38.5H,50.0
8480GRY-AR,8480GRY-2LCN,Pecos Collection ,Armless Reclining Chair,22 x 40.5 x 39H,155.0
5477NS,5477N-96,Orsina Collection ,Side Chair,20.5 x 26 x 41.5H,80.0
5470-72,5470-72,Jemez Collection ,Dining Table with Faux Marble Top,42 x 72 x 30H,243.0
1714W-9,1714W-1,Laurelin Collection ,Chest,40 x 18 x 54H,249.0
1936-6,1936-1,Vestavia Collection ,Mirror,37.25 x 0.75 x 38.5H,37.0
8480RED-AR,8480RED-2LCN,Pecos Collection ,Armless Reclining Chair,22 x 40.5 x 39H,155.0
5055A,5055-82,Norwich Collection ,Arm Chair,24 x 26.5 x 41.5H,79.0
8469-5,8469-3,St. Claire Collection ,Chaise,30 x 67.75 x 38.25H,335.0
8469-1,8469-3,St. Claire Collection ,Chair,50.5 x 36 x 35.75H,332.0
19359-2,19359-3,Bonaventure Park Collection ,Love Seat,81.75 x 41 x 41H,902.0
1904GY-5,1904GY-1*,Beechnut Collection,Dresser,59 x 16.5 x 36.75H,203.0
8201BRW-1,8201BRW-3,Jude Collection ,Glider Reclining Chair,35.5 x 39 x 39H,205.0
19359-3,19359-3,Bonaventure Park Collection ,Sofa,97.5 x 41 x 41H,1019.0
8336-CR,8336,Keamey Collection ,Corner Seat,68 x 41 x 40H,302.0
1844FDC-1*,1844DC-1,Eunice Collection ,Full Platform Bed with Footboard Storage,HB: 59.25H FB: 20H,393.0
8490-CN,8490,Columbus Collection ,Console,13 x 39 x 40H,83.0
8329BLK-1,8329BLK-3,Jarita Collection ,Reclining Chair,37.5 x 39.5 x 39.5H,183.0
9789CF-3LC,9789CF-3LC,Phelps Collection ,Reversible Sofa Chaise,78 x 58 x 34.5H,307.0
8480BRW-3PW,8480BRW-3,Pecos Collection ,Power Double Reclining Sofa,88 x 40 x 39H,643.0
8336-AC,8336,Keamey Collection ,Armless Chair,32 x 39 x 40H,161.0
5100-84*,5100-84,Luella Collection ,Dining Table,40 x 84 x 30H,389.0
8403-2,8403-3,Cassville Collection ,Double Reclining Love Seat,61 x 38 x 38.5H,307.0
8289BU-1,8289BU,Bedos Collection,Chair,42 x 34 x 33.5H,171.0
8329BLK-3,8329BLK-3,Jarita Collection ,Double Reclining Sofa,82 x 39.5 x 39.5H,363.0
1904-4,1904,Beechnut Collection ,Night Stand,23.5 x 16.5 x 26.75H,85.0
5572,5572,Ivins Collection,5-Piece Pack Dinette Set,Table: 36 x 48 x 30HChair: 17.5 x 20 x 35.25H,200.0
8327TL-3,8327TL-3,Deryn Collection ,Sofa,85.5 x 33.75 x 35.5H,313.0
2615RFS-NN,2615DC-96,Marston Collection ,"Side Chair, No Nailhead",20.5 x 25.5 x 41.5H,79.0
1928-9,1928-1,Celandine Collection ,Chest,40 x 17 x 52H,251.0
8403-3,8403-3,Cassville Collection ,Double Reclining Sofa with Center Drop-Down Cup Holders,81 x 38 x 38.5H,401.0
2615RFA-NN,2615DC-96,Marston Collection ,"Arm Chair, No Nailhead",25 x 25.5 x 41.5H,84.0
1856K-1CK,1856-1,Abbeville Collection ,California King Sleigh Bed,HB: 50.25H FB: 30.5H,199.0
2615DC-40,2615DC-96,Marston Collection ,Server,58 x 19 x 39H,422.0
19359-1,19359-3,Bonaventure Park Collection ,Chair,55.5 x 41 x 41H,632.0
8336-RC,8336,Keamey Collection ,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,319.0
8336-LR,8336,Keamey Collection ,Left Side Reclining Chair,42 x 39 x 40H,235.0
